shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate
11,WATCHLIST,WATCH,2026-05-09,Belgium,Jupiler Pro League,1536977,RAAL La Louvière,Cercle Brugge,92.08,86.18,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,OVER_2_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.6535,2.38,0.42016806722689076,0.2333319327731092,0.715,1.69,0.591715976331361,0.123284023668639,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.21 | visitante 2.50,Market edge primario: prob 0.653 | impl 0.420 | edge +0.233,Bias lado: -2.16 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,15.0,14.0,1.0,1.0,0.625,1.625,1.125,2.25,2.25,1.75,0.375,1.0,0.125,0.125,0.375,0.875,0.75,1.0,0.625,1.0
12,WATCHLIST,WATCH,2026-05-09,England,Premier League,1379319,Brighton,Wolves,91.71,85.81,HIGH,2-1 / 1-0 / 2-0,UNDER_3_5,HOME_DNB,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.667,1.71,0.5847953216374269,0.08220467836257317,0.7608,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.32 | visitante 0.60,Market edge primario: prob 0.667 | impl 0.585 | edge +0.082,Bias lado: +3.15 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,8.0,20.0,0.0,1.0,2.0,1.0,1.625,1.0,1.0,1.875,0.875,0.625,0.375,0.125,0.5,0.5,0.75,0.875,0.625,0.625
13,WATCHLIST,WATCH,2026-05-09,Belgium,Jupiler Pro League,1536976,Zulte Waregem,Dender,91.55,85.65,HIGH,2-1 / 3-1 / 2-2,UNDER_3_5,HOME_DNB,NEGATIVE,NO_BET,NO_BET,NO_BET,NO_BET,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Non-actionable recommendation matched promoted rule context; no upgrade applied.,0.6169,1.6,0.625,-0.008099999999999996,0.6295,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.13 | visitante 1.01,Market edge primario: prob 0.617 | impl 0.625 | edge -0.008,Bias lado: +2.03 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,13.0,16.0,0.5,1.0,2.0,0.875,1.75,1.125,1.0,2.0,0.75,0.875,0.375,0.125,0.375,0.75,0.75,0.875,0.5,0.75
14,WATCHLIST,WATCH,2026-05-09,Germany,Bundesliga,1388600,1899 Hoffenheim,Werder Bremen,91.07,85.17,HIGH,2-1 / 3-1 / 2-2,BTTS_YES,OVER_1_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.7112,1.5,0.6666666666666666,0.044533333333333425,0.8932,1.12,0.8928571428571428,0.00034285714285720026,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.20 | visitante 1.61,Market edge primario: prob 0.711 | impl 0.667 | edge +0.045,Bias lado: +1.25 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,6.0,15.0,0.0,1.0,1.5,1.25,1.875,1.5,2.125,1.625,0.875,0.875,0.0,0.125,0.875,0.75,1.0,0.875,0.875,0.625
15,WATCHLIST,WATCH,2026-05-09,Spain,Segunda División,1392189,Albacete,Cultural Leonesa,90.98,85.08,HIGH,2-1 / 1-0 / 2-0,HOME_WIN,UNDER_3_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.6734,2.3,0.4347826086956522,0.23861739130434778,0.6662,1.4,0.7142857142857143,-0.04808571428571429,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.11 | visitante 0.81,Market edge primario: prob 0.673 | impl 0.435 | edge +0.239,Bias lado: +2.20 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,13.0,22.0,0.0,1.0,1.375,0.75,1.75,0.875,1.375,1.625,0.875,0.75,0.25,0.125,0.625,0.625,0.875,0.75,0.625,0.5
16,WATCHLIST,WATCH,2026-05-09,Italy,Serie A,1378218,Lecce,Juventus,90.37,84.47,HIGH,1-2 / 0-1 / 1-1,UNDER_3_5,AWAY_WIN,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.7673,1.4,0.7142857142857143,0.05301428571428568,0.7887,1.47,0.6802721088435374,0.10842789115646256,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.35 | visitante 2.11,Market edge primario: prob 0.767 | impl 0.714 | edge +0.053,Bias lado: -3.53 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,17.0,4.0,1.0,0.5,1.0,2.25,0.75,1.5,1.375,0.25,0.5,0.875,0.125,0.75,0.5,0.25,0.75,0.625,0.5,0.125
17,WATCHLIST,WATCH,2026-05-09,USA,Major League Soccer,1490266,Chicago Fire,New York Red Bulls,89.63,84.43,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.9201,1.12,0.8928571428571428,0.027242857142857235,0.7854,1.37,0.7299270072992701,0.05547299270072992,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.77 | visitante 1.41,Market edge primario: prob 0.920 | impl 0.893 | edge +0.027,Bias lado: +2.41 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,4.0,11.0,1.0,0.0,2.0,1.0,2.125,1.875,1.25,2.5,1.0,0.75,0.375,0.0,0.625,0.75,0.75,1.0,0.75,0.75
18,WATCHLIST,WATCH,2026-05-09,Spain,Segunda División,1392191,Malaga,Sporting Gijon,89.28,83.38,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.8324,1.24,0.8064516129032259,0.02594838709677416,0.6257,1.73,0.5780346820809249,0.047665317919075134,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.14 | visitante 1.09,Market edge primario: prob 0.832 | impl 0.806 | edge +0.026,Bias lado: +1.83 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,6.0,12.0,0.0,0.0,1.5,0.875,2.125,1.125,1.5,1.375,0.875,0.75,0.375,0.25,0.625,0.5,0.875,0.625,0.625,0.5
19,WATCHLIST,WATCH,2026-05-09,Spain,Segunda División,1392183,Burgos,Almeria,89.17,83.27,HIGH,1-2 / 1-3 / 2-2,OVER_2_5,OVER_1_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.7741,2.07,0.48309178743961356,0.29100821256038645,0.9145,1.34,0.7462686567164178,0.16823134328358214,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.80 | visitante 2.29,Market edge primario: prob 0.774 | impl 0.483 | edge +0.291,Bias lado: -0.98 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,7.0,3.0,0.0,1.0,1.875,2.25,1.5,2.75,0.875,2.0,0.875,0.875,0.5,0.0,0.5,0.875,0.625,1.0,0.375,0.875
20,WATCHLIST,WATCH,2026-05-09,Spain,La Liga,1391160,Atletico Madrid,Celta Vigo,88.68,82.78,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.8518,1.26,0.7936507936507936,0.058149206349206395,0.6579,1.76,0.5681818181818182,0.08971818181818181,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.01 | visitante 1.38,Market edge primario: prob 0.852 | impl 0.794 | edge +0.058,Bias lado: +1.25 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,4.0,6.0,0.5,0.0,1.0,0.75,1.5,1.375,1.625,2.375,0.875,0.625,0.125,0.0,0.75,0.625,0.875,0.875,0.625,0.875
21,WATCHLIST,WATCH,2026-05-09,Sweden,Allsvenskan,1494164,IFK Goteborg,Hammarby FF,88.03,82.83,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,OVER_2_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.8281,1.65,0.6060606060606061,0.22203939393939387,0.7227,1.73,0.5780346820809249,0.1446653179190751,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.73 | visitante 3.04,Market edge primario: prob 0.828 | impl 0.606 | edge +0.222,Bias lado: -3.86 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,15.0,3.0,1.0,0.5,0.875,1.875,1.125,2.625,2.25,1.125,0.625,0.875,0.0,0.25,0.625,0.625,1.0,1.0,0.5,0.625
22,WATCHLIST,WATCH,2026-05-09,Scotland,Premiership,1540027,Motherwell,Heart Of Midlothian,86.42,81.22,HIGH,1-2 / 0-1 / 1-1,AWAY_WIN,OVER_1_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.6158,2.44,0.4098360655737705,0.2059639344262295,0.7852,1.31,0.7633587786259541,0.02184122137404587,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.93 | visitante 1.97,Market edge primario: prob 0.616 | impl 0.410 | edge +0.206,Bias lado: -2.17 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,4.0,1.0,0.5,1.0,0.875,2.375,1.25,1.5,1.75,0.75,0.75,0.875,0.25,0.375,0.625,0.5,0.75,0.5,0.625,0.5
23,WATCHLIST,WATCH,2026-05-09,Netherlands,Eerste Divisie,1544647,Willem II,Waalwijk,85.53,80.33,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.8495,1.21,0.8264462809917356,0.023053719008264473,0.6539,1.67,0.5988023952095809,0.05509760479041914,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.13 | visitante 1.24,Market edge primario: prob 0.850 | impl 0.826 | edge +0.023,Bias lado: +1.81 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,3.0,6.0,1.0,0.0,2.625,1.25,1.875,1.875,0.5,1.5,0.875,0.875,0.625,0.125,0.25,0.75,0.625,0.875,0.5,0.5
24,WATCHLIST,WATCH,2026-05-09,Turkey,Süper Lig,1394725,Galatasaray,Antalyaspor,85.05,79.85,HIGH,2-1 / 1-0 / 2-0,UNDER_3_5,HOME_DNB,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.7388,1.92,0.5208333333333334,0.21796666666666664,0.6799,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.94 | visitante 0.65,Market edge primario: prob 0.739 | impl 0.521 | edge +0.218,Bias lado: +2.81 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,15.0,1.0,1.0,1.25,0.625,1.375,0.75,1.875,1.625,0.75,0.375,0.125,0.375,0.625,0.25,1.0,0.625,0.75,0.375
25,WATCHLIST,WATCH,2026-05-09,Italy,Serie A,1378214,Cagliari,Udinese,84.68,78.78,HIGH,1-2 / 0-1 / 1-1,AWAY_WIN,OVER_1_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,24,10,0,14,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.6292,3.06,0.32679738562091504,0.30240261437908494,0.6914,1.42,0.7042253521126761,-0.012825352112676103,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.67 | visitante 1.73,Market edge primario: prob 0.629 | impl 0.327 | edge +0.302,Bias lado: -1.75 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,15.0,11.0,0.5,0.0,0.875,1.5,0.875,1.5,1.625,0.875,0.625,0.625,0.25,0.5,0.5,0.25,0.625,0.625,0.625,0.375
26,WATCHLIST,WATCH,2026-05-09,England,Premier League,1379322,Fulham,Bournemouth,84.61,78.71,HIGH,0-1 / 0-2 / 1-2,UNDER_3_5,AWAY_WIN,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,10,0,15,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.0942398,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | model_edge_abs_num >= 0.0942398 | model_edge_abs_num >= 0.0951082 | model_edge_abs_num >= 0.0960387 | model_edge_abs_num >= 0.0966495 | primary_edge >= 0.0942398 | primary_edge >= 0.0951082 | primary_edge >= 0.0960387 | primary_edge >= 0.0966495 | model_edge_abs_num >= 0.0941619 | primary_edge >= 0.0941619 | selection_score >= 72.44 | selection_score >= 72.56,Actionable recommendation matched premium promoted-rule evidence.,0.8732,1.58,0.6329113924050632,0.24028860759493675,0.6798,2.61,0.3831417624521073,0.29665823754789267,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.35 | visitante 1.56,Market edge primario: prob 0.873 | impl 0.633 | edge +0.240,Bias lado: -2.07 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,11.0,6.0,0.0,0.0,1.0,1.75,0.5,1.5,1.0,0.875,0.25,0.75,0.375,0.375,0.125,0.625,0.375,0.75,0.25,0.625
27,WATCHLIST,WATCH,2026-05-09,France,Ligue 2,1389410,Reims,PAU,84.48,78.58,HIGH,2-1 / 1-0 / 2-0,UNDER_3_5,HOME_DNB,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6856,1.69,0.591715976331361,0.09388402366863902,0.5446,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.78 | visitante 1.05,Market edge primario: prob 0.686 | impl 0.592 | edge +0.094,Bias lado: +1.27 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,6.0,9.0,0.0,0.0,1.375,1.375,1.375,1.0,1.125,1.875,0.875,0.75,0.25,0.375,0.75,0.5,0.875,0.625,0.375,0.625
