target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,promotion_input_status,promotion_permission,adapter_status,adapter_reason,allowed_downstream_use,promotion_candidate_type,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-16,2026-06-16T19:20:03+01:00,1538395,Bolívar,Guabirá,Primera División,Bolivia,2026-06-15T23:00:00+00:00,PST,93,HIGH_SIGNAL_REVIEW,prediction_winner=Bolívar | pred_total_home_away=62.8/37.2 | 1x2=1.18/6.20/10.25 | ou2.5=2.25/1.57,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T19:20:03+01:00,1547744,Dakota,Sporting,Division di Honor,Aruba,2026-06-16T00:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Dakota | pred_total_home_away=68.6/31.4,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T19:20:03+01:00,1524044,Rochedale Rovers,Moreton City Excelsior,Queensland NPL,Australia,2026-06-16T09:15:00+00:00,FT,89,HIGH_SIGNAL_REVIEW,prediction_winner=Moreton City Excelsior | pred_total_home_away=38.6/61.4 | 1x2=5.40/4.60/1.44 | ou2.5=1.30/3.25,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T19:20:03+01:00,1524029,WDSC Wolves,Eastern Suburbs,Queensland NPL,Australia,2026-06-16T09:30:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Eastern Suburbs | pred_total_home_away=33.8/66.2 | 1x2=2.50/4.00/2.25 | ou2.5=2.45/1.48,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T19:20:03+01:00,1524039,Gold Coast Knights,Lions,Queensland NPL,Australia,2026-06-16T09:30:00+00:00,PST,57,MEDIUM_SIGNAL_REVIEW,prediction_winner=Gold Coast Knights | pred_total_home_away=49.3/50.7 | 1x2=3.50/4.20/1.75 | ou2.5=1.30/3.25,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T19:20:03+01:00,1524151,Redlands United,SC Wanderers,Queensland Premier League,Australia,2026-06-16T09:30:00+00:00,FT,57,MEDIUM_SIGNAL_REVIEW,prediction_winner=Redlands United | pred_total_home_away=49.2/50.8 | 1x2=2.75/3.85/2.10 | ou2.5=1.42/2.70,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T19:20:03+01:00,1541092,Mebrat Hayl,Mekelle Kenema,Premier League,Ethiopia,2026-06-16T10:00:00+00:00,FT,57,MEDIUM_SIGNAL_REVIEW,prediction_winner=Mekelle Kenema | pred_total_home_away=45.7/54.3 | 1x2=2.65/2.75/2.60,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T19:20:03+01:00,1547545,Sable,Foncha ST,Elite Two,Cameroon,2026-06-16T12:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Sable | pred_total_home_away=74.5/25.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T19:20:03+01:00,1477248,Namungo,Tabora United,Ligi kuu Bara,Tanzania,2026-06-16T13:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Tabora United | pred_total_home_away=35.0/65.0,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T19:20:03+01:00,1508054,Al Ahed,Al Hikma,Premier League,Lebanon,2026-06-16T13:00:00+00:00,FT,77,HIGH_SIGNAL_REVIEW,prediction_winner=Al Hikma | pred_total_home_away=42.7/57.5 | 1x2=1.48/3.65/6.50 | ou2.5=2.00/1.75,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
