target_date,generated_at,rank,fixture_id,home_team,away_team,market_primary,adjusted_status,objective_level,dependency_level,opponent_level,draw_level,lineup_level,availability_level,market_level,memory_level,context_level,context_score,policy,auto_apply,production_change
2026-07-08,2026-07-08T10:55:14+01:00,1,1554374,Vikingur Reykjavik,Gyori ETO FC,OVER_2_5,WAIT_PRELOCK,PROXY_ONLY,DEPENDENCY_UNKNOWN,STAKE_NEUTRAL,DRAW_NOT_KEY,WAIT_PRELOCK,AVAIL_UNKNOWN_CLEAN,GOALS_STANDARD,MEM_NONE,L6_REVIEW,43,review only,NO,NO
2026-07-08,2026-07-08T10:55:14+01:00,2,1554368,Lincoln Red Imps FC,Inter Club d'Escaldes,OVER_2_5,WAIT_PRELOCK,PROXY_ONLY,DEPENDENCY_UNKNOWN,STAKE_NEUTRAL,DRAW_NOT_KEY,WAIT_PRELOCK,AVAIL_UNKNOWN_CLEAN,GOALS_STANDARD,MEM_NONE,L6_REVIEW,43,review only,NO,NO
