league_tier,vsigma_priority,market_family_hint,matches
TIER_1,B_ANALIZAR,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1
TIER_2,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1
TIER_2,B_ANALIZAR,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,1
TIER_2,B_ANALIZAR,OVER_OR_BTTS_CHECK,1
TIER_2,C_SOLO_SI_BLOQUE_SECO,NO_DATA_ENRICHMENT_REQUIRED,1
TIER_2,C_SOLO_SI_BLOQUE_SECO,OVER_OR_BTTS_CHECK,1
TIER_3,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,3
