summary_scope,metric,rows_total,value_num,value_text,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
overall,shortlist_rows,3,3.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,result_available_rows,3,3.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,pending_rows,3,0.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,unmatched_rows,3,0.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,bet_rows,3,3.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,lean_play_rows,3,0.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,premium_rows,3,3.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,standard_rows,3,0.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,wins,3,2.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,losses,3,1.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,pushes,3,0.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,voids,3,0.0,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,profit_units_total,3,0.23,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,roi_percent,3,7.666667,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,avg_execution_score,3,131.823071,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
overall,avg_primary_edge,3,0.257764,,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,shortlist_rows,3,3.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,result_available_rows,3,3.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,pending_rows,3,0.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,unmatched_rows,3,0.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,bet_rows,3,3.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,lean_play_rows,3,0.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,premium_rows,3,3.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,standard_rows,3,0.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,wins,3,2.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,losses,3,1.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,pushes,3,0.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,voids,3,0.0,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,profit_units_total,3,0.23,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,roi_percent,3,7.666667,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,avg_execution_score,3,131.823071,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_execution_bucket,avg_primary_edge,3,0.257764,APPROVED_PREMIUM,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,shortlist_rows,3,3.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,result_available_rows,3,3.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,pending_rows,3,0.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,unmatched_rows,3,0.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,bet_rows,3,3.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,lean_play_rows,3,0.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,premium_rows,3,3.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,standard_rows,3,0.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,wins,3,2.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,losses,3,1.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,pushes,3,0.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,voids,3,0.0,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
by_final_recommendation,profit_units_total,3,0.23,BET,2026-08-18,2026-08-19T07:55:07+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-08-18-20260819T075507Z
