date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,is_two_leg_tie,tie_context_status,first_leg_fixture_id,first_leg_home_goals,first_leg_away_goals,tie_home_agg_before,tie_away_agg_before,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_state_label,league_tier,league_tier_rank,league_filter_reason
2026-08-18,2026-08-18T23:00:00+01:00,1787090400,CONMEBOL Libertadores,13,2026,1547770,NS,Independ. Rivadavia,473,Fluminense,124,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-18T08:39:22.452057+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.25,1.0,2.125,1.0,0.75,1.5,0.875,0.625,0.25,0.125,0.75,0.625,0.75,0.875,0.5,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,15.8,11.0,4.8,2.8,52.2,6.2,3.4,10.6,1.8,1.2,3.0,5.0,5.0,1.0,1.0,13.0,12.2,4.6,4.6,62.8,2.8,2.8,12.2,2.6,0.75,2.6,FULL,2026-08-18T08:39:32.030756+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-08-18T08:39:49.427470+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,800.14,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-18T08:39:51.408880+00:00,1.0,16.0,9.0,6.0,15.0,6.0,1.0,2.0,8.0,0.0,6.0,7.0,7.0,1.0,32.0,2026-08-18T08:39:54.784982+00:00,2.52,3.05,3.35,2.2,1.67,1.57,2.55,2.82,1.5,5.88,1.17,,,,,,13.0,161.0,5052.0,0.3968,0.3279,0.2985,0.4545,0.5988,0.6369,0.3922,0.3546,0.6667,0.1701,0.8547,,,,,,2026-08-18T08:39:55.813814+00:00,OK,1.0,OK,1535288.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,LEVEL_TIE,TIER_1,1,conmebol_libertadores
2026-08-18,2026-08-18T20:00:00+01:00,1787079600,UEFA Champions League,2,2026,1622620,NS,Dinamo Zagreb,620,Viking,759,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2026-08-18T08:39:22.452029+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.5,2.625,2.625,2.75,0.75,0.75,0.875,1.0,0.5,0.5,0.5,0.5,0.875,0.875,0.625,0.875,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,4.0,0.8,1.0,28.333,7.333,7.75,3.5,60.5,9.5,3.25,13.25,2.0,0.333,7.25,5.0,5.0,1.0,1.0,17.2,10.4,6.6,2.6,48.0,5.4,6.0,11.8,2.2,2.0,4.2,PARTIAL,2026-08-18T08:39:36.031506+00:00,4.0,6.0,1.0,1.0,3.6,6.0,FULL,FULL,HIGH,HIGH,FULL,2026-08-18T08:39:49.622633+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,620.14,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-18T08:39:51.802744+00:00,,,,,,,,,,,,,,,,2026-08-18T08:39:54.785977+00:00,1.77,4.23,4.76,1.62,2.25,1.2,4.72,1.66,2.37,2.63,1.55,,,,,,13.0,145.0,4602.0,0.565,0.2364,0.2101,0.6173,0.4444,0.8333,0.2119,0.6024,0.4219,0.3802,0.6452,,,,,,2026-08-18T08:39:56.194159+00:00,OK,1.0,NO_FIRST_LEG_FOUND,,,,,,,,,,,,TIER_1,1,uefa_top_competition
2026-08-18,2026-08-18T20:00:00+01:00,1787079600,UEFA Champions League,2,2026,1622621,NS,Fenerbahçe,611,Lyon,80,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,2026-08-18T08:39:22.452034+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.375,1.875,2.125,2.375,0.5,1.75,1.0,0.75,0.625,0.25,0.375,0.5,0.75,1.0,0.5,0.75,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,16.8,10.2,7.0,2.6,64.8,7.6,4.2,12.6,2.25,2.0,4.8,5.0,2.0,0.4,1.0,15.0,7.5,7.5,2.0,52.0,8.0,3.5,13.5,0.5,2.0,3.5,SPARSE,2026-08-18T08:39:40.040090+00:00,24.0,6.0,1.0,1.0,19.6,5.6,FULL,FULL,HIGH,HIGH,FULL,2026-08-18T08:39:50.019718+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,620.13,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-18T08:39:52.214871+00:00,,,,,,,,,,,,,,,,2026-08-18T08:39:54.786551+00:00,2.09,3.75,3.68,1.67,2.3,1.27,4.33,1.8,2.16,2.95,1.44,,,,,,13.0,150.0,4767.0,0.4785,0.2667,0.2717,0.5988,0.4348,0.7874,0.2309,0.5556,0.463,0.339,0.6944,,,,,,2026-08-18T08:39:56.577427+00:00,OK,1.0,NO_FIRST_LEG_FOUND,,,,,,,,,,,,TIER_1,1,uefa_top_competition
2026-08-18,2026-08-18T20:00:00+01:00,1787079600,UEFA Champions League,2,2026,1622622,NS,Levski Sofia,646,AEK Athens FC,575,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-18T08:39:22.452039+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,7.0,2.125,2.286,2.75,2.143,0.625,0.857,0.875,0.857,0.5,0.429,0.5,0.571,0.875,0.857,0.75,0.857,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,0.0,0.0,0.0,,,,,,,,,,,,5.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-08-18T08:39:44.033642+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-08-18T08:39:50.429051+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,620.12,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-18T08:39:52.602009+00:00,,,,,,,,,,,,,,,,2026-08-18T08:39:54.787058+00:00,3.34,3.2,2.55,1.93,1.91,1.44,3.0,2.37,1.67,4.5,1.24,,,,,,13.0,144.0,4184.0,0.2994,0.3125,0.3922,0.5181,0.5236,0.6944,0.3333,0.4219,0.5988,0.2222,0.8065,,,,,,2026-08-18T08:39:56.973884+00:00,OK,1.0,NO_FIRST_LEG_FOUND,,,,,,,,,,,,TIER_1,1,uefa_top_competition
2026-08-18,2026-08-18T23:00:00+01:00,1787090400,CONMEBOL Sudamericana,11,2026,1607651,NS,Deportivo Recoleta,10476,Boca Juniors,451,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-18T08:39:22.452062+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.25,2.0,1.5,1.625,1.0,0.625,0.875,0.75,0.25,0.375,0.75,0.375,0.875,0.625,0.5,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,9.4,13.4,3.4,3.4,46.6,4.0,5.0,10.8,2.2,1.6,1.4,5.0,5.0,1.0,1.0,8.4,11.4,4.8,3.0,47.0,2.0,4.0,10.4,3.6,3.0,1.8,FULL,2026-08-18T08:39:48.037234+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-08-18T08:39:50.431839+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,800.12,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-18T08:39:53.001319+00:00,1.0,8.0,1.0,6.0,6.0,5.0,1.0,,,,,,,,32.0,2026-08-18T08:39:54.788680+00:00,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2026-08-18T08:39:57.358501+00:00,NO_ODDS_FOUND,1.0,OK,1607648.0,3.0,1.0,1.0,3.0,-2.0,2.0,1.0,0.0,0.0,HOME_TRAILING,TIER_2,2,conmebol_sudamericana
2026-08-18,2026-08-18T17:30:00+01:00,1787070600,Liga Leumit,382,2026,1555107,NS,Hapoel Acre,4482,Maccabi Kiryat Gat,6194,Israel,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-18T08:39:22.451376+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,0.0,1.0,0,0.7,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,israel_liga_leumit_noisy
2026-08-18,2026-08-18T17:30:00+01:00,1787070600,Liga Leumit,382,2026,1555108,NS,Hapoel Afula,4483,Ashdod,4507,Israel,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-18T08:39:22.451381+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,0.0,1.0,0,0.7,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,israel_liga_leumit_noisy
2026-08-18,2026-08-18T17:30:00+01:00,1787070600,Liga Leumit,382,2026,1555109,NS,Hapoel Kfar Shalem,6160,Kafr Qasim,4493,Israel,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-18T08:39:22.451386+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,0.0,1.0,0,0.7,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,israel_liga_leumit_noisy
2026-08-18,2026-08-18T17:30:00+01:00,1787070600,Liga Leumit,382,2026,1555111,NS,Hapoel Ra'anana,4509,Maccabi Ahi Nazareth,4494,Israel,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-18T08:39:22.451395+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,0.0,1.0,0,0.7,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,israel_liga_leumit_noisy
2026-08-18,2026-08-18T17:30:00+01:00,1787070600,Liga Leumit,382,2026,1555110,NS,Hapoel Rishon LeZion,4491,Hapoel Kfar Saba,4497,Israel,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-18T08:39:22.451390+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,0.0,1.0,0,0.7,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,israel_liga_leumit_noisy
