target_date,generated_at,cluster_type,cluster_key,sample_rows_total,sample_rows_real,diagnostic_rows,pending_rows,no_pick_rows,green_rows,red_rows,void_rows,no_bet_rows,manual_review_rows,correlated_failure_rows,correlated_green_rows,concentration_ratio,green_rate_real_sample,red_rate_real_sample,portfolio_correlation_status,correlation_risk_label,recommended_action,source_window,source_guard,auto_apply,production_change
2026-06-04,2026-06-05T19:55:16+01:00,SCORELINE_BUCKET,NO_SCORELINE,1,0,1,0,1,0,0,0,1,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,CONFIDENCE_BUCKET,NO_CONFIDENCE,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,COUNTRY,DIAGNOSTIC,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,DAILY_PORTFOLIO,ALL,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,DECISION_BUCKET,DIAGNOSTIC_ONLY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,ERROR_FAMILY,UNKNOWN_ERROR,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,GOAL_TIMING_PROFILE,NO_GOAL_TIMING_PROFILE,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,LEAGUE,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,LINEUP_SHOCK_STATUS,NO_LINEUP_STATUS,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,MARKET_FAMILY,UNKNOWN_FAMILY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,NO_BET_QUALITY,NO_NO_BET_LABEL,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,QUALITY_CLASS,UNKNOWN_QUALITY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,SCORELINE_BUCKET,NO_SCORELINE_BUCKET,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,CONFIDENCE_BUCKET,NO_CONFIDENCE,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,COUNTRY,DIAGNOSTIC,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,DAILY_PORTFOLIO,ALL,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,DECISION_BUCKET,DIAGNOSTIC_ONLY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,ERROR_FAMILY,UNKNOWN_ERROR,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,GOAL_TIMING_PROFILE,NO_GOAL_TIMING_PROFILE,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,LEAGUE,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,LINEUP_SHOCK_STATUS,NO_LINEUP_STATUS,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,MARKET_FAMILY,UNKNOWN_FAMILY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,NO_BET_QUALITY,NO_NO_BET_LABEL,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,QUALITY_CLASS,UNKNOWN_QUALITY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:13+01:00,SCORELINE_BUCKET,NO_SCORELINE_BUCKET,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,CONFIDENCE_BUCKET,NO_CONFIDENCE,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,COUNTRY,DIAGNOSTIC,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,DAILY_PORTFOLIO,ALL,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,DECISION_BUCKET,DIAGNOSTIC_ONLY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,ERROR_FAMILY,UNKNOWN_ERROR,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,GOAL_TIMING_PROFILE,NO_GOAL_TIMING_PROFILE,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,LEAGUE,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,LINEUP_SHOCK_STATUS,NO_LINEUP_STATUS,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,MARKET_FAMILY,UNKNOWN_FAMILY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,NO_BET_QUALITY,NO_NO_BET_LABEL,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,QUALITY_CLASS,UNKNOWN_QUALITY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,SCORELINE_BUCKET,NO_SCORELINE_BUCKET,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,CONFIDENCE_BUCKET,NO_CONFIDENCE,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,COUNTRY,DIAGNOSTIC,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,DAILY_PORTFOLIO,ALL,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,DECISION_BUCKET,DIAGNOSTIC_ONLY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,ERROR_FAMILY,UNKNOWN_ERROR,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,GOAL_TIMING_PROFILE,NO_GOAL_TIMING_PROFILE,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,LEAGUE,DIAGNOSTIC|DIAGNOSTIC_NO_COMPETITION,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,LINEUP_SHOCK_STATUS,NO_LINEUP_STATUS,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,MARKET_FAMILY,UNKNOWN_FAMILY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,NO_BET_QUALITY,NO_NO_BET_LABEL,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,QUALITY_CLASS,UNKNOWN_QUALITY,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T12:50:33+01:00,SCORELINE_BUCKET,NO_SCORELINE_BUCKET,1,0,1,0,1,0,0,0,0,0,0,0,100.0%,,,DIAGNOSTIC_ONLY_NO_PORTFOLIO_LEARNING,NONE,Diagnostic-only cluster; do not learn portfolio correlation.,GOVERNANCE_CUMULATIVE_WITH_DAILY_FALLBACK,PORTFOLIO_CORRELATION_LEARNING_V1_NO_AUTO_APPLY,NO,NO
