target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,official_action,executable_now,final_block_reason,execution_family_status,is_actionable,is_non_actionable,is_expired,result_status,decision_quality_label,quality_bucket,improvement_signal,recommended_followup,accuracy_primary_risk,competition_calibrated_prob,learning_family,learning_status,sample_key,learning_priority,learning_note
2026-05-21,2026-05-21T22:06:11+01:00,1545410,Superliga,Brondby,FC Copenhagen,OVER_2_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.801325,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,1535302,CONMEBOL Libertadores,Flamengo,Estudiantes L.P.,OVER_1_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,LOSS,EXPIRED_PRELOCK_RESULT_LOSS,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::OVER_1_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,1535208,CONMEBOL Sudamericana,Gremio,Palestino,UNDER_3_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,WIN,EXPIRED_PRELOCK_RESULT_WIN,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::UNDER_3_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,1545410,Superliga,Brondby,FC Copenhagen,OVER_2_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.801325,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,1535302,CONMEBOL Libertadores,Flamengo,Estudiantes L.P.,OVER_1_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,LOSS,EXPIRED_PRELOCK_RESULT_LOSS,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::OVER_1_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,1535208,CONMEBOL Sudamericana,Gremio,Palestino,UNDER_3_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,WIN,EXPIRED_PRELOCK_RESULT_WIN,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::UNDER_3_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,1545410,Superliga,Brondby,FC Copenhagen,OVER_1_5,,,,,,,,PENDING,,,,,,,UNRESOLVED,PROMOTION_NOT_ALLOWED,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,P3,Evidence only; promotion requires separate shadow experiment and promotion gate.
2026-05-21,2026-05-21T22:06:11+01:00,1535302,CONMEBOL Libertadores,Flamengo,Estudiantes L.P.,OVER_1_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,LOSS,EXPIRED_PRELOCK_RESULT_LOSS,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::OVER_1_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,1535208,CONMEBOL Sudamericana,Gremio,Palestino,UNDER_3_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,WIN,EXPIRED_PRELOCK_RESULT_WIN,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::UNDER_3_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,1545410,Superliga,Brondby,FC Copenhagen,OVER_2_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.801325,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,1535302,CONMEBOL Libertadores,Flamengo,Estudiantes L.P.,OVER_1_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,LOSS,EXPIRED_PRELOCK_RESULT_LOSS,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::OVER_1_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,1535208,CONMEBOL Sudamericana,Gremio,Palestino,UNDER_3_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,WIN,EXPIRED_PRELOCK_RESULT_WIN,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::UNDER_3_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,1535302,CONMEBOL Libertadores,Flamengo,Estudiantes L.P.,OVER_1_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,LOSS,EXPIRED_PRELOCK_RESULT_LOSS,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::OVER_1_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,1535208,CONMEBOL Sudamericana,Gremio,Palestino,UNDER_3_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,WIN,EXPIRED_PRELOCK_RESULT_WIN,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::UNDER_3_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,1545410,Superliga,Brondby,FC Copenhagen,OVER_2_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,UNRESOLVED,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.,FAILURE_MODE_LOW_CONVERSION,0.801325,WAITING_PRELOCK,COLLECT_MORE_SAMPLE,WAITING_PRELOCK::OVER_2_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,1535208,CONMEBOL Sudamericana,Gremio,Palestino,UNDER_3_5,NO_BET,NO,KICKOFF_ALREADY_PASSED,EXPIRED,NO,YES,YES,WIN,EXPIRED_PRELOCK_RESULT_WIN,NEUTRAL_OR_UNRESOLVED,REVIEW_AUTO_TIMING,Review AUTO/PRELOCK scheduling and keep expired rows out of predictive hit-rate metrics.,,,EXPIRED_PRELOCK,TIMING_REVIEW,EXPIRED_PRELOCK::UNDER_3_5::UNKNOWN_RISK::REVIEW_AUTO_TIMING,P1,Execution timing/prelock state must be reviewed; not a predictive model change.
2026-05-21,2026-05-21T22:06:11+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.
2026-05-21,2026-05-21T22:06:11+01:00,,,,,,,,,,,,,UNRESOLVED,,,,,,,UNRESOLVED,COLLECT_MORE_SAMPLE,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P3,Outcome unresolved; wait for post-results labeling.
