target_date,generated_at,source_name,current_status,current_reliability_score,current_priority_weight,evaluated_rows,promoted_rows,learning_only_rows,avg_accuracy,grade_counts,quarantine_rows,parser_failure_rows,parser_failure_classes,sample_gate,reliability_verdict,recommended_registry_action,recommended_weight_action,reason,auto_apply,production_change
2026-05-29,2026-05-31T21:43:14+01:00,club_official_hint,REVIEW_ONLY,0.85,0.95,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,footballtransfers,ACTIVE,0.60,0.70,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,gffn,ACTIVE,0.62,0.72,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,guardian_predicted,ACTIVE,0.82,0.92,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,lequipe,ACTIVE,0.76,0.86,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,local_media_generic,REVIEW_ONLY,0.75,0.88,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,madeinfoot,ACTIVE,0.66,0.76,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,maxifoot,ACTIVE,0.68,0.78,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,ninetymin,ACTIVE,0.62,0.72,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,rotowire,ACTIVE,0.70,0.80,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,sports_gambler,ACTIVE,0.68,0.78,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,sportskeeda,ACTIVE,0.60,0.72,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,sportsmole,ACTIVE,0.72,0.85,2,0,1,0.455,D=2,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,standard_sport,ACTIVE,0.68,0.78,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
2026-05-29,2026-05-31T21:43:14+01:00,whoscored,ACTIVE,0.78,0.90,0,0,0,0.000,none,0,0,none,INSUFFICIENT_SAMPLE,HOLD_SAMPLE,KEEP_ACTIVE_COLLECT_MORE_DATA,NO_WEIGHT_CHANGE,sample below minimum; learn more before changing registry,NO,NO
